appid,en_name,zh_name,ja_name,match_method
400,"Portal","传送门","",exact
420,"Half-Life 2: Episode Two","","","none"
440,"Team Fortress 2","军团要塞2","",exact
500,"Left 4 Dead","求生之路","",exact
550,"Left 4 Dead 2","求生之路2","",exact
570,"Dota 2","","","none"
620,"Portal 2","传送门2","",exact
659,"Portal 2","传送门2","",exact
730,"Counter-Strike 2","反恐精英2","",exact
2990,"FlatOut 2","横冲直撞2","",exact
3480,"Peggle Deluxe","","","none"
3540,"Peggle™ Nights","幻幻球之夜","",exact
3590,"Plants vs. Zombies GOTY Edition","植物大战僵尸","",fuzzy (plants vs. zombies)
3830,"Psychonauts","脑航员","",exact
4000,"Garry's Mod","盖瑞模组","",exact
4700,"Total War: MEDIEVAL II – Definitive Edition","","","none"
4760,"Rome: Total War™ - Collection","","","none"
7200,"Trackmania United Forever","赛道狂飙：联合永恒","",exact
8500,"EVE Online","星战前夜：晨曦","",exact
8790,"GTR 2 FIA GT Racing Game","","","none"
8930,"Sid Meier's Civilization® V","","","none"
9010,"Return to Castle Wolfenstein","重返德军总部","",exact
9420,"Supreme Commander: Forged Alliance","最高指挥官","",fuzzy (supreme commander)
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm","","","none"
10090,"Call of Duty: World at War","使命召唤：战火世界","",exact
10190,"Call of Duty®: Modern Warfare® 2 (2009)","使命召唤","",fuzzy (call of duty)
10500,"Total War: EMPIRE – Definitive Edition","","","none"
11450,"Overlord™","霸王","",exact
12900,"AudioSurf","音乐战机","",exact
15210,"Silent Hunter® III","","","none"
15710,"Oddworld: Abe's Exoddus®","","","none"
17390,"SPORE™","孢子","",exact
20900,"The Witcher: Enhanced Edition Director's Cut","","","none"
20920,"The Witcher 2: Assassins of Kings Enhanced Edition","","","none"
22330,"The Elder Scrolls IV: Oblivion® Game of the Year Edition (2009)","","","none"
22380,"Fallout: New Vegas","辐射 新维加斯","",exact
25990,"Majesty Gold HD","","","none"
32150,"Everyday Genius: SquareLogic","逻辑方块","",exact
32370,"STAR WARS™ Knights of the Old Republic™","","","none"
33930,"Arma 2: Operation Arrowhead","武装突袭2","",fuzzy (arma 2)
34900,"Bad Rats: the Rats' Revenge","","","none"
39000,"Moonbase Alpha","","","none"
39140,"FINAL FANTASY VII","最终幻想7","",exact
39680,"The Guild II Renaissance","","","none"
40800,"Super Meat Boy","超级肉肉哥","",exact
46500,"Syberia","赛伯利亚之谜","",exact
47810,"Dragon Age: Origins - Ultimate Edition","","","none"
48700,"Mount & Blade: Warband","骑马与砍杀：战团","",exact
49520,"Borderlands 2","无主之地2","",exact
52003,"Portal","传送门","",exact
55230,"Saints Row: The Third","黑道圣徒3","",exact
57690,"Tropico 4","海岛大亨4","",exact
72850,"The Elder Scrolls V: Skyrim","上古卷轴5：天际","",exact
78000,"Bejeweled® 3","宝石迷阵3","",exact
98800,"Dungeons of Dredmor","地下城冒险","",exact
105600,"Terraria","泰拉瑞亚","",exact
107310,"Cthulhu Saves the World","邪神拯救世界","",exact
108600,"Project Zomboid","僵尸毁灭工程","",exact
200010,"Quantum Conundrum","量子谜题","",exact
200510,"XCOM: Enemy Unknown","幽浮：未知敌人","",exact
204360,"Castle Crashers®","城堡毁灭者","",exact
205100,"Dishonored","耻辱","",exact
206440,"To the Moon","去月球","",exact
217200,"Worms Armageddon","","","none"
218620,"PAYDAY 2","收获日2","",exact
219740,"Don't Starve","饥荒","",exact
219990,"Grim Dawn","恐怖黎明","",exact
227300,"Euro Truck Simulator 2","欧洲卡车模拟2","",exact
228200,"Company of Heroes","英雄连","",exact
230410,"Warframe","星际战甲","",exact
232910,"TrackMania² Stadium","","","none"
236850,"Europa Universalis IV","欧陆风云4","",exact
238960,"Path of Exile","流放之路","",exact
239820,"Game Dev Tycoon","游戏发展国","",exact
242760,"The Forest","森林","",exact
244210,"Assetto Corsa","神力科莎","",exact
246420,"Kingdom Rush  - Tower Defense","王国保卫战","",fuzzy (kingdom rush)
246620,"Plague Inc: Evolved","","","none"
252490,"Rust","腐蚀","",exact
252950,"Rocket League®","火箭联盟","",exact
255710,"Cities: Skylines","城市：天际线","",exact
256290,"Child of Light","光之子","",exact
271590,"Grand Theft Auto V Legacy","","","none"
272040,"KAMI","神折纸","",exact
282070,"This War of Mine","这是我的战争","",exact
284160,"BeamNG.drive","","","none"
285330,"RollerCoaster Tycoon® 2: Triple Thrill Pack","","","none"
286690,"Metro 2033 Redux","","","none"
287310,"Re-Volt","玩具遥控汽车","",exact
289070,"Sid Meier’s Civilization® VI","","","none"
292030,"The Witcher 3: Wild Hunt","巫师3：狂猎","",exact
292410,"Street Racing Syndicate","","","none"
296770,"Real Boxing™","真实拳击","",exact
304930,"Unturned","未转变者","",exact
305260,"Battle Islands","岛屿之战","",exact
307690,"Sleeping Dogs: Definitive Edition","热血无赖：终极版","",exact
322170,"Geometry Dash","几何冲刺","",exact
322330,"Don't Starve Together","饥荒 联机版","",exact
323190,"Frostpunk","冰汽时代","",exact
324680,"Impossible Creatures Steam Edition","不可思议的生物","",fuzzy (impossible creatures)
346010,"Besiege","围攻","",exact
359550,"Tom Clancy's Rainbow Six® Siege X","","","none"
365670,"Blender","","","none"
367670,"Controller Companion","","","none"
372000,"Tree of Savior (English Ver.)","","","none"
375950,"Viridi","肉肉","",exact
381210,"Dead by Daylight","黎明杀机","",exact
387840,"Alpha Runner","","","none"
391540,"Undertale","地下传说","",exact
394360,"Hearts of Iron IV","钢铁雄心4","",exact
400040,"ShareX","","","none"
413150,"Stardew Valley","星露谷物语","",exact
415200,"Motorsport Manager","赛车经理","",exact
431240,"Golf With Your Friends","和朋友打高尔夫","",exact
431730,"Aseprite","","","none"
431960,"Wallpaper Engine","Wallpaper Engine：壁纸引擎","",exact
438660,"Jerry Rice & Nitus' Dog Football","","","none"
446830,"The Lonesome Fog","","","none"
450390,"The Lab","","","none"
